skola	NM	nazov	mesto	ulica	N	N_ZZ	N_SZP	N_C	znamka	uspes	ptil_skol	N_úspM	dlzka_studia	interní N	interní PÚ	externí N	externí PÚ	GYM_4 N	GYM_4 PÚ	GYM_8 N	GYM_8 PÚ
631,013	198	Gymnázium V. B. Nedožerského	Prievidza	Matice slovenskej 16	59	0	0	0	1.8	59.7	40.2	55	4/8	59	59.7	—	—	52	60.2	7	55.7
631,014	39	Piaristická spojená škola F. Hanáka - Gymnázium	Prievidza	A. Hlinku 44	5	0	0	0	1.4	62.7	—	5	4/8	5	62.7	—	—	1	43.3	4	67.5
631,015	76	Gymnázium	Púchov	1. mája 905	18	1	0	0	1.6	65	59	18	4	18	65	—	—	18	65	—	—
631,016	187	Gymnázium Ľ. Štúra	Trenčín	1. mája 2	52	0	0	0	2.1	68.6	77.9	52	4/5	52	68.6	—	—	52	68.6	—	—
631,017	45	Športové gymnázium	Trenčín	Staničná 6	4	1	0	0	2.3	46.7	—	3	4	4	46.7	—	—	4	46.7	—	—
631,018	85	Piaristické gymnázium J. Braneckého	Trenčín	Palackého 4	23	1	0	0	2.3	62.9	47.5	22	4/8	23	62.9	—	—	14	61	9	65.9
631,020	80	Súkromné gymnázium FUTURUM	Trenčín	Kožušnícka 2	3	0	0	0	1	68.9	—	3	4/5	3	68.9	—	—	—	—	—	—
632,501	115	Stredná umelecká škola	Trenčín	Staničná 8	5	0	0	0	1.2	30.7	—	3	4	5	30.7	—	—	—	—	—	—
633,001	107	Stredná odborná škola strojnícka	Bánovce nad Bebravou	Partizánska cesta 76	15	1	0	0	2.4	22.9	—	4	4	15	22.9	—	—	—	—	—	—
633,004	75	Stredná odborná škola	Dubnica nad Váhom	Bratislavská 439/18	12	0	0	0	1.8	18.6	—	1	4	12	18.6	—	—	—	—	—	—
633,009	72	Stredná odborná škola	Stará Turá	Športová 675/1	17	0	0	0	2.4	41.8	13.9	12	4	17	41.8	—	—	—	—	—	—
633,015	131	Stredná odborná škola	Handlová	Lipová 8	7	1	0	0	2	34.8	—	6	4/5	7	34.8	—	—	—	—	—	—
633,018	78	Stredná odborná škola	Púchov	I. Krasku 491	14	0	0	0	2.2	19.8	—	1	4	14	19.8	—	—	—	—	—	—
633,021	47	Stredná odborná škola	Trenčín	Pod Sokolicami 14	1	—	—	—	—	—	—	1	2/4	1	—	—	—	—	—	—	—
633,201	130	Stredná odborná škola strojnícka	Považská Bystrica	Športovcov 341/2	21	2	0	0	2.2	26.2	2.5	7	2/4	21	26.2	—	—	—	—	—	—
634,001	54	Stredná odborná škola stavebná Emila Belluša	Trenčín	Staničná 4	4	0	0	0	1.5	34.2	—	2	4	4	34.2	—	—	—	—	—	—
634,501	145	Stredná priemyselná škola	Dubnica nad Váhom	Obr. mieru 343/1	15	0	0	0	2.7	44.2	—	11	4	15	44.2	—	—	—	—	—	—
634,502	96	Stredná priemyselná škola	Myjava	Ul. SNP 413/8	29	0	0	0	2.7	36	8.2	20	2/4	29	36	—	—	—	—	—	—
634,504	64	Stredná priemyselná škola	Považská Bystrica	Slovenských partizánov 1132/52	3	0	0	0	2.7	47.8	—	3	4	3	47.8	—	—	—	—	—	—
634,505	78	Stredná priemyselná škola	Nové Mesto nad Váhom	Bzinská 11	6	0	0	0	2.5	35.6	—	5	4	6	35.6	—	—	—	—	—	—
636,103	120	Obchodná akadémia	Považská Bystrica	Jesenského 259/6	5	0	0	0	2.2	27.3	—	1	4	5	27.3	—	—	—	—	—	—
636,105	92	Obchodná akadémia	Prievidza	F. Madvu 2	3	0	0	0	—	31.1	—	1	4	3	31.1	—	—	—	—	—	—
636,106	116	Obchodná akadémia Milana Hodžu	Trenčín	M. Rázusa 1	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
638,601	67	Stredná odborná škola letecko - technická	Trenčín	Legionárska 160	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
641,001	75	Gymnázium Ľudovíta Jaroslava Šuleka	Komárno	Pohraničná 10	12	0	0	0	1.8	65	—	12	4	12	65	—	—	12	65	—	—
641,002	113	Gymnázium Hansa Selyeho s VJM - Selye János Gimnázium	Komárno	Ul. biskupa Királya 5	37	0	0	0	1.7	71.1	86.9	37	4	37	71.1	—	—	37	71.1	—	—
641,003	146	Gymnázium Andreja Vrábla	Levice	Mierová 5	54	2	0	0	2.1	69.1	80.3	54	4/8	54	69.1	—	—	46	71.4	8	56.3
641,005	25	Gymnázium s VJM - Gimnázium	Šahy	Mládežnícka 22	7	0	0	0	1.3	78.1	—	7	4	7	78.1	—	—	7	78.1	—	—
641,006	22	Gymnázium	Želiezovce	Štúrova 16	2	0	0	0	2.5	55	—	2	4	2	55	—	—	2	55	—	—
641,007	15	Gymnázium J. A. Komenského s VJM - Comenius Gimnázium	Želiezovce	Štúrova 16	3	0	0	0	1.7	58.9	—	3	4	3	58.9	—	—	3	58.9	—	—
641,008	138	Gymnázium	Nitra	Golianova 68	45	2	0	0	1.6	66.3	68	43	4/5/2008	45	66.3	—	—	21	67.6	10	64
641,009	199	Gymnázium	Nitra	Parovská 1	53	1	0	0	1.6	72.5	90.2	53	4/5/2008	53	72.5	—	—	34	69.4	18	78.7
641,010	74	Spojená katolícka škola - Gymnázium sv. Cyrila a Metoda	Nitra	Farská 19	16	1	0	0	2.3	71	84.4	16	4/8	16	71	—	—	9	69.6	7	72.9
641,011	88	Piaristická spojená škola sv. Jozefa Kalazanského - Piaristické gymnázium sv. Jozefa Kalazanského	Nitra	Piaristická 6	17	1	0	0	2.9	51.8	23	16	4/8	17	51.8	—	—	12	43.3	5	72
641,012	58	Gymnázium	Vráble	Školská 1232/26	11	0	0	0	2.6	61.8	—	10	4	11	61.8	—	—	11	61.8	—	—
641,013	107	Gymnázium	Nové Zámky	M. R. Štefánika 16	31	0	0	0	1.6	66.1	66.4	31	4/8	31	66.1	—	—	19	59.6	12	76.4
641,015	64	Gymnázium	Šurany	Bernolákova 37	15	0	0	0	—	70.7	—	15	4	15	70.7	—	—	15	70.7	—	—
641,016	63	Gymnázium Juraja Fándlyho	Šaľa	Školská 3	18	1	0	0	1.8	64.3	57.4	16	4/8	18	64.3	—	—	12	60.8	6	71.1
641,017	128	Gymnázium	Topoľčany	Ul. 17. novembra 1180/16	28	0	0	0	2.1	62.5	46.7	27	4/8	28	62.5	—	—	25	62.8	3	60
641,018	18	Gymnázium sv. Vincenta de Paul	Topoľčany	Ul. 17. novembra 1056	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
641,019	52	Gymnázium Janka Kráľa	Zlaté Moravce	SNP 3	12	1	0	0	1.2	62.8	—	12	4	12	62.8	—	—	12	62.8	—	—
641,021	4	Gymnázium P. Czeglédiho Reformovanej kresťanskej cirkvi s VJM	Levice	J. Jesenského 41	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
641,022	97	Spojená škola - Športové gymnázium	Nitra	Slančíkovej 2	13	0	0	0	2.2	47.9	—	10	4/8	13	47.9	—	—	6	52.8	7	43.8
641,023	24	Gymnázium P. Pázmáňa s VJM - Pázmány Péter Gimnázium	Nové Zámky	Letomostie 3	10	0	0	0	1.1	70.7	—	10	4	10	70.7	—	—	10	70.7	—	—
641,024	34	Katolícka spojená škola sv. Vincenta de Paul - Gymnázium sv. Vincenta de Paul	Levice	Saratovská 87	5	0	0	0	1.8	52	—	5	4	5	52	—	—	5	52	—	—
641,029	17	Katolícka spojená škola F. Fegyvernekiho s VJM - Cirkevné gymnázium F. Fegyvernekiho s VJM	Šahy	SNP 4	3	0	0	0	1.3	74.4	—	3	4	3	74.4	—	—	3	74.4	—	—
643,012	50	Stredná odborná škola techniky a služieb	Topoľčany	Tovarnícka 1609	1	—	—	—	—	—	—	—	2/4	1	—	—	—	—	—	—	—
643,023	72	Stredná odborná škola technická - Műszaki Szakközépiskola	Komárno	Bratislavská 10	3	0	0	0	1.7	38.9	—	3	2/4	3	38.9	—	—	—	—	—	—
644,001	44	Stredná priemyselná škola stavebná - Építőipari Szakközépiskola	Hurbanovo	Konkolyho 8	20	0	0	0	2.3	54	29.5	20	4	20	54	—	—	—	—	—	—
644,002	119	Stredná priemyselná škola stavebná	Nitra	Cabajská 4	5	0	0	0	1.4	31.3	—	2	4	5	31.3	—	—	—	—	—	—
644,501	131	Stredná priemyselná škola	Komárno	Petöfiho 2	55	0	0	0	2.8	41.9	14.8	39	4	55	41.9	—	—	—	—	—	—
644,503	102	Stredná priemyselná škola strojnícka a elektrotechnická	Nitra	Fr. Kráľa 20	5	0	0	0	1.4	52.7	—	4	4	5	52.7	—	—	—	—	—	—
644,504	31	Spojená škola - Stredná priemyselná škola	Šaľa	Nivy 2	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
646,001	92	Spojená škola - Hotelová akadémia	Nitra	Slančíkovej 2	1	—	—	—	—	—	—	—	5	1	—	—	—	—	—	—	—
646,105	56	Obchodná akadémia	Topoľčany	Inovecká 2041	5	0	0	0	1.8	20.7	—	1	4	5	20.7	—	—	—	—	—	—
648,102	93	Stredná odborná škola technická	Šurany	Nitrianska 61	4	0	0	0	1.3	42.5	—	4	4/5	4	42.5	—	—	—	—	—	—
648,202	93	Stredná odborná škola polytechnická	Zlaté Moravce	SNP 2	1	—	—	—	—	—	—	—	2/4	1	—	—	—	—	—	—	—
648,301	133	Spojená škola - Stredná priemyselná škola elektrotechnická S. A. Jedlika	Nové Zámky	Komárňanská 28	19	0	0	0	2.2	37.5	9.8	13	4	19	37.5	—	—	—	—	—	—
651,001	56	Gymnázium	Bytča	Štefánikova 219/4	15	0	0	0	1.7	56.2	—	14	4/8	15	56.2	—	—	9	48.1	6	68.3
651,002	169	Gymnázium Jozefa Miloslava Hurbana	Čadca	17. novembra 1296	42	0	1	0	1.9	66.7	68.9	42	4/5/2008	42	66.7	—	—	21	67.6	4	59.2
651,003	38	Gymnázium	Turzovka	Ľ. Štúra 35	11	0	0	0	2.9	66.1	—	11	4	11	66.1	—	—	11	66.1	—	—
651,004	95	Gymnázium P. O. Hviezdoslava	Dolný Kubín	Hviezdoslavovo námestie 18	40	1	0	0	2.2	56.9	32	36	4/8	40	56.9	—	—	33	52.4	7	78.1
651,006	17	Cirkevné gymnázium Andreja Radlinského	Dolný Kubín	Okružná 2062/25	8	0	0	0	1	64.6	—	8	8	8	64.6	—	—	—	—	8	64.6
651,007	61	Gymnázium	Kysucké Nové Mesto	Jesenského 2243	25	0	0	0	—	71.5	87.7	25	4	25	71.5	—	—	25	71.5	—	—
651,008	38	Gymnázium	Liptovský Hrádok	Hradná 497/23	14	0	0	0	1.8	51.9	—	13	4/8	14	51.9	—	—	9	53.7	5	48.7
651,009	80	Gymnázium Michala Miloslava Hodžu	Liptovský Mikuláš	M. M. Hodžu 860/9	22	3	0	0	2	61.4	45.1	21	4/8	22	61.4	—	—	15	54.9	7	75.2
